date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:14	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/8a6fb04a7de46f908adbb18c2b4b776b.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/8a6fb04a7de46f908adbb18c2b4b776b.1f.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:15	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/008e2c37d3b89c444d451cd305fb3e14.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/008e2c37d3b89c444d451cd305fb3e14.20.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:15	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/19654c38399b0e75c351d6fc960fe0ca.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/19654c38399b0e75c351d6fc960fe0ca.21.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:16	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/84d4951c6eb1f90d3cc51c8a696cc1a0.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/84d4951c6eb1f90d3cc51c8a696cc1a0.22.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:16	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/1fd30dc5922029b453afe4c78e10873b.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/1fd30dc5922029b453afe4c78e10873b.23.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:16	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/610918cd61367c50cb80bb1b56032cd4.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/610918cd61367c50cb80bb1b56032cd4.24.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/df437cab29c27e81e9ffaab036bd7aa2.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/df437cab29c27e81e9ffaab036bd7aa2.25.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/03385fc1d38dabb4865f24eab0ccbfe0.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/03385fc1d38dabb4865f24eab0ccbfe0.26.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/8307730f12369150034efedddaedb68b.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/8307730f12369150034efedddaedb68b.27.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:18	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/37756a066ca6a6628ad8962ccfd5ac50.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/37756a066ca6a6628ad8962ccfd5ac50.28.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:18	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/31dc2cf4c0db6b4d16d5b308acb23593.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/31dc2cf4c0db6b4d16d5b308acb23593.29.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
